ID,FixedRef,AreaCodeID,CountryID,CountryRelevanceID,FeatureVersionID,Unknown,Region,Address 1,Address 1 (Non-Latin),Address 2,Address 2 (Non-Latin),Address 3,Address 3 (Non-Latin),City,City (Non-Latin),State/ Province,State/ Province (Non-Latin),Postal Code,Postal Code (Non-Latin)
25,,11073,11073,1413,200025,,,,,,,,,Havana,,,,,
129,,11211,11211,1413,200129,,,"Ibex House, The Minories",,,,,,London,,,,EC3N 1DY,
199,,11196,11196,1413,200199,,,Zweierstrasse 35,,,,,,Zurich,,,,CH-8022,
200,,11190,11190,1413,200200,,,Avenida de Concha Espina 8,,,,,,Madrid,,,,E-28036,
201,,11115,11115,1413,200201,,,"Dai-Ichi Bldg. 6th Floor, 10-2 Nihombashi, 2-chome, Chuo-ku",,,,,,Tokyo,,,,103,
202,,11162,11162,1413,200202,,,Federico Boyd Avenue & 51 Street,,,,,,Panama City,,,,,
247,,11162,11162,1413,200247,,,42 Via Brasil,,,,,,Panama City,,,,,
271,,11190,11190,1413,200271,,,,,,,,,,,,,,
272,,11143,11143,1413,200272,,,,,,,,,,,,,,
276,,11162,11162,1413,200276,,,,,,,,,Panama City,,,,,
317,,11143,11143,1413,200317,,,Emerson No. 148 Piso 7,,,,,,"Mexico, D.F.",,,,11570,
318,,11190,11190,1413,200318,,,,,,,,,,,,,,
319,,11162,11162,1413,200319,,,,,,,,,,,,,,
321,,11190,11190,1413,200321,,,,,,,,,,,,,,
328,,11162,11162,1413,200328,,,,,,,,,,,,,,
329,,11190,11190,1413,200329,,,Jose Lazaro Galdeano 6-6,,,,,,Madrid,,,,28016,
331,,11090,11090,1413,200331,,,,,,,,,Paris,,,,,
334,,11190,11190,1413,200334,,,,,,,,,,,,,,
346,,11162,11162,1413,200346,,,,,,,,,,,,,,
348,,11113,11113,1413,200348,,,,,,,,,Milan,,,,,
357,,11035,11035,1413,200357,,,,,,,,,Buenos Aires,,,,,
358,,11143,11143,1413,200358,,,,,,,,,Cancun,,,,,
359,,11190,11190,1413,200359,,,,,,,,,,,,,,
360,,11190,11190,1413,200360,,,,,,,,,,,,,,
361,,11113,11113,1413,200361,,,,,,,,,,,,,,
362,,11143,11143,1413,200362,,,"Baja California 255, Edificio B. Oficina 103, Condesa",,,,,,"Mexico, D.F.",,,,06500,
363,,11190,11190,1413,200363,,,,,,,,,,,,,,
365,,11143,11143,1413,200365,,,"1649 Adolfo Prieto, Colonia del Valle",,,,,,Mexico City,,,,,
376,,11196,11196,1413,200376,,,"Case Postale 236, 10 Bis Rue Du Vieux College 12-11",,,,,,Geneva,,,,,
408,,11190,11190,1413,200408,,,,,,,,,,,,,,
409,,11162,11162,1413,200409,,,,,,,,,,,,,,
438,,11101,11101,1413,200438,,,32 Main Street,,,,,,Georgetown,,,,,
439,,11090,11090,1413,200439,,,24 Rue Du Quatre Septembre,,,,,,Paris,,,,,
440,,11033,11033,1413,200440,,,Belas Airport,,,,,,Luanda,,,,,
441,,11171,11171,1413,200441,,,"Dobrininskaya No. 7, Sec 5",,,,,,Moscow,,,,,
442,,11035,11035,1413,200442,,,Corrientes 545 Primer Piso,,,,,,Buenos Aires,,,,,
443,,11094,11094,1413,200443,,,Frankfurter TOR 8-A,,,,,,Berlin,,,,,
444,,11060,11060,1413,200444,,,"1 Place Ville Marie, Suite 3431",,,,,,Montreal,,,,,
445,,11075,11075,1413,200445,,,Parizska 17,,,,,,Prague,,,,,
446,,11165,11165,1413,200446,,,Paseo de la Republica 126,,,,,,Lima,,,,,
447,,11102,11102,1413,200447,,,Piarco Airport,,,,,,Port au Prince,,,,,
448,,11211,11211,1413,200448,,,c/o Anglo-Caribbean Shipping Co. Ltd.,,"Ibex House, The Minories",,,,London,,,,EC3N 1DY,
449,,11114,11114,1413,200449,,,Norman Manley International Airport,,,,,,Kingston,,,,,
450,,11143,11143,1413,200450,,,"Melchor Ocampo 469, 5DF",,,,,,Mexico City,,,,,
451,,11162,11162,1413,200451,,,Calle 29 y Avda Justo Arosemena,,,,,,Panama City,,,,,
452,,11043,11043,1413,200452,,,"Grantley Adams Airport, Christ Church",,,,,,,,,,,
453,,11190,11190,1413,200453,,,,,,,,,Madrid,,,,,
454,,11090,11090,1413,200454,,,,,,,,,Paris,,,,,
455,,11113,11113,1413,200455,,,,,,,,,Milan,,,,,
456,,11171,11171,1413,200456,,,,,,,,,Moscow,,,,,
457,,11190,11190,1413,200457,,,,,,,,,Madrid,,,,,
458,,11094,11094,1413,200458,,,,,,,,,Cologne,,,,,
459,,11060,11060,1413,200459,,,Downsview,,,,,,Ontario,,,,,
460,,11115,11115,1413,200460,,,,,,,,,Tokyo,,,,,
461,,11035,11035,1413,200461,,,,,,,,,Buenos Aires,,,,,
465,,11211,11211,1413,200465,,,"Devonshire House, 1 Devonshire Street",,,,,,London,,,,,
466,,11115,11115,1413,200466,,,"Kawabe Building, 1-5 Kanda Nishiki-Cho, Chiyoda-Ku",,,,,,Tokyo,,,,,
500,,11060,11060,1413,200500,,,5250 Ferrier Street,,,,,,Montreal,,Quebec,,,
44386,,11211,11211,1413,244386,,,4th Floor,,189 Marsh Wall,,,,London,,,,E14 9SH,
44387,,11073,11073,1413,244387,,,"Edificio Atlantic, Oficina 4 H",,Calle D No. 8 entre 1ra. y 3ra.,,"Vedado, Plaza de la Revolucion",,Havana,,,,10400,
572,,11090,11090,1413,200572,,,54 Rue Richelieu,,,,,,Paris,,,,,
660,,11190,11190,1413,200660,,,,,,,,,,,,,,
661,,11162,11162,1413,200661,,,,,,,,,,,,,,
793,,11162,11162,1413,200793,,,,,,,,,,,,,,
825,,11120,11120,1413,200825,,,,,,,,,Pyongyang,,,,,
826,,11171,11171,1413,200826,,,,,,,,,Moscow,,,,,
827,,11190,11190,1413,200827,,,,,,,,,Barcelona,,,,,
828,,11094,11094,1413,200828,,,,,,,,,Rostock,,,,,
829,,11113,11113,1413,200829,,,,,,,,,Genoa,,,,,
830,,11167,11167,1413,200830,,,,,,,,,Syczecin,,,,,
831,,11153,11153,1413,200831,,,,,,,,,Rotterdam,,,,,
832,,11143,11143,1413,200832,,,,,,,,,,,,,,
833,,11035,11035,1413,200833,,,,,,,,,Buenos Aires,,,,,
834,,11060,11060,1413,200834,,,,,,,,,Montreal,,,,,
835,,11054,11054,1413,200835,,,,,,,,,Varna,,,,,
848,,11035,11035,1413,200848,,,"San Martin 323, Piso 14",,,,,,Buenos Aires,,,,,
997,,11153,11153,1413,200997,,,Boezembolcht 23,,,,,,Rotterdam,,,,,
1006,,11130,11130,1413,201006,,,,,,,,,,,,,,
1007,,11096,11096,1413,201007,,,33 Akti Maouli,,,,,,Pireas (Piraeus),,,,185-35,
1052,,11162,11162,1413,201052,,,,,,,,,,,,,,
1069,,11190,11190,1413,201069,,,,,,,,,,,,,,
1100,,11143,11143,1413,201100,,,,,,,,,,,,,,
1101,,11060,11060,1413,201101,,,1010 O Rue Ste. Catherine,,,,,,Montreal,,,,PQ H303 IGI,
1102,,11190,11190,1413,201102,,,,,,,,,,,,,,
1237,,11162,11162,1413,201237,,,,,,,,,,,,,,
1394,,11162,11162,1413,201394,,,Edificio Saldivar,,,,,,Panama City,,,,,
1395,,11094,11094,1413,201395,,,Lietzenburger Strasse 51,,,,,,Berlin,,,,,
1430,,11190,11190,1413,201430,,,,,,,,,,,,,,
1431,,11143,11143,1413,201431,,,,,,,,,Cancun,,,,,
1432,,11143,11143,1413,201432,,,,,,,,,Guadalajara,,,,,
1433,,11143,11143,1413,201433,,,,,,,,,Mexico City,,,,,
1434,,11143,11143,1413,201434,,,,,,,,,Monterey,,,,,
1435,,11143,11143,1413,201435,,,,,,,,,Roma,,,,,
1832,,11291,,,201832,,,,,,,,,,,,,,
1833,,11291,,,201833,,,,,,,,,,,,,,
1834,,11291,,,201834,,,,,,,,,,,,,,
1835,,11082,11082,1413,201835,,,,,,,,,,,,,,
1836,,11291,,,201836,,,,,,,,,,,,,,
1837,,11291,,,201837,,,,,,,,,,,,,,
1839,,11291,,,201839,,,,,,,,,,,,,,
1840,,11291,,,201840,,,,,,,,,,,,,,
1841,,11291,,,201841,,,,,,,,,,,,,,
1843,,11291,,,201843,,,,,,,,,,,,,,
37108,,11126,11126,1413,237108,,,,,,,,,,,,,,
1848,,11291,,,201848,,,,,,,,,,,,,,
1849,,11291,11291,1413,201849,,,,,,,,,Gaza Strip,,,,,
1982,,11060,11060,1413,201982,,,,,,,,,Saskatchewan,,AB,,,
1983,,11073,11073,1413,201983,,,,,,,,,,,,,,
1984,,11060,11060,1413,201984,,,,,,,,,Saskatchewan,,AB,,,
1985,,11073,11073,1413,201985,,,,,,,,,,,,,,
1991,,11291,,,201991,,,,,,,,,,,,,,
2007,,11066,11066,1413,202007,,,,,,,,,Cali,,,,,
2008,,11066,11066,1413,202008,,,"Casa No. 19, Avenida Lago, Ciudad Jardin",,,,,,Cali,,,,,
2237,,11291,,,202237,,,,,,,,,,,,,,
2242,,11291,,,202242,,,,,,,,,,,,,,
2248,,11291,,,202248,,,,,,,,,,,,,,
2256,,11197,11197,1413,202256,,,,,,,,,Damascus,,,,,
2898,,11109,11109,1413,202898,,,"PO Box 15875/7177, 144 Mirdamad Blvd",,,,,,Tehran,,,,,
16811,,11109,11109,1413,216811,,,213 Ferdowsi Avenue,,,,,,Tehran,,,,11365,
41726,,11109,11109,1413,241726,,,"Mirdamad Blvd, 144 - P.O. Box 15875/7/77",,,,,,Tehran,,,,,
2899,,11109,11109,1413,202899,,,"PO Box 11365/5699, No 247 3rd Floor Fedowsi Ave, Cross Sarhang Sakhaei St",,,,,,Tehran,,,,,
45326,,11109,11109,1413,245326,,,P.O. Box 11365-3499,,"Ferdowsi Ave, Cross Sarhang Sakhaie St",,,,Tehran,,,,,
2901,,11109,11109,1413,202901,,,"No. 40 North Shiraz Street, Mollasadra Ave, Vanak Sq",,,,,,Tehran,,,,19917,
45327,,11109,11109,1413,245327,,,"No. 40, North Shiraz St, Mollasadra Ave",,,,,,Tehran,,,,,
45328,,11109,11109,1413,245328,,,"40, Northern Shirazi St, Molla Sadra Ave",,,,,,Tehran,,,,19917,
2905,,11109,11109,1413,202905,,,"PO Box 14155-6395, 129 Patrice Lumumba St, Jalal-al-Ahmad Expressway",,,,,,Tehran,,,,14454,
16813,,11211,11211,1413,216813,,,5 Lothbury,,,,,,London,,,,EC2R 7HD,
16814,,11109,11109,1413,216814,,,"PO Box 15175/584, 6th Floor, Sadaf Bldg, 1137 Vali Asr Ave",,,,,,Tehran,,,,15119-43885,
2921,,11291,,,202921,,,,,,,,,,,,,,
2923,,11291,,,202923,,,,,,,,,,,,,,
