ID,FixedRef,AreaCodeID,Country,CountryRelevanceID,FeatureVersionID,Unknown,Region,Address 1,Address 2,Address 3,City,State/ Province,Postal Code,Script Type
25,36,11073,Cuba,,200025,,,,,,Havana,,,Latin
129,173,11211,United Kingdom,,200129,,,"Ibex House, The Minories",,,London,,EC3N 1DY,Latin
199,306,11196,Switzerland,,200199,,,Zweierstrasse 35,,,Zurich,,CH-8022,Latin
200,306,11190,Spain,,200200,,,Avenida de Concha Espina 8,,,Madrid,,E-28036,Latin
201,306,11115,Japan,,200201,,,"Dai-Ichi Bldg. 6th Floor, 10-2 Nihombashi, 2-chome, Chuo-ku",,,Tokyo,,103,Latin
202,306,11162,Panama,,200202,,,Federico Boyd Avenue & 51 Street,,,Panama City,,,Latin
247,424,11162,Panama,,200247,,,42 Via Brasil,,,Panama City,,,Latin
271,475,11190,Spain,,200271,,,,,,,,,Latin
272,475,11143,Mexico,,200272,,,,,,,,,Latin
276,480,11162,Panama,,200276,,,,,,Panama City,,,Latin
317,535,11143,Mexico,,200317,,,Emerson No. 148 Piso 7,,,"Mexico, D.F.",,11570,Latin
318,536,11190,Spain,,200318,,,,,,,,,Latin
319,537,11162,Panama,,200319,,,,,,,,,Latin
321,540,11190,Spain,,200321,,,,,,,,,Latin
328,551,11162,Panama,,200328,,,,,,,,,Latin
329,552,11190,Spain,,200329,,,Jose Lazaro Galdeano 6-6,,,Madrid,,28016,Latin
331,555,11090,France,,200331,,,,,,Paris,,,Latin
334,559,11190,Spain,,200334,,,,,,,,,Latin
346,576,11162,Panama,,200346,,,,,,,,,Latin
348,578,11113,Italy,,200348,,,,,,Milan,,,Latin
357,589,11035,Argentina,,200357,,,,,,Buenos Aires,,,Latin
358,590,11143,Mexico,,200358,,,,,,Cancun,,,Latin
359,591,11190,Spain,,200359,,,,,,,,,Latin
360,592,11190,Spain,,200360,,,,,,,,,Latin
361,593,11113,Italy,,200361,,,,,,,,,Latin
362,621,11143,Mexico,,200362,,,"Baja California 255, Edificio B. Oficina 103, Condesa",,,"Mexico, D.F.",,06500,Latin
363,622,11190,Spain,,200363,,,,,,,,,Latin
365,636,11143,Mexico,,200365,,,"1649 Adolfo Prieto, Colonia del Valle",,,Mexico City,,,Latin
376,651,11196,Switzerland,,200376,,,"Case Postale 236, 10 Bis Rue Du Vieux College 12-11",,,Geneva,,,Latin
408,701,11190,Spain,,200408,,,,,,,,,Latin
409,702,11162,Panama,,200409,,,,,,,,,Latin
438,735,11101,Guyana,,200438,,,32 Main Street,,,Georgetown,,,Latin
439,735,11090,France,,200439,,,24 Rue Du Quatre Septembre,,,Paris,,,Latin
440,735,11033,Angola,,200440,,,Belas Airport,,,Luanda,,,Latin
441,735,11171,Russia,,200441,,,"Dobrininskaya No. 7, Sec 5",,,Moscow,,,Latin
442,735,11035,Argentina,,200442,,,Corrientes 545 Primer Piso,,,Buenos Aires,,,Latin
443,735,11094,Germany,,200443,,,Frankfurter TOR 8-A,,,Berlin,,,Latin
444,735,11060,Canada,,200444,,,"1 Place Ville Marie, Suite 3431",,,Montreal,,,Latin
445,735,11075,Czech Republic,,200445,,,Parizska 17,,,Prague,,,Latin
446,735,11165,Peru,,200446,,,Paseo de la Republica 126,,,Lima,,,Latin
447,735,11102,Haiti,,200447,,,Piarco Airport,,,Port au Prince,,,Latin
448,735,11211,United Kingdom,,200448,,,c/o Anglo-Caribbean Shipping Co. Ltd.,"Ibex House, The Minories",,London,,EC3N 1DY,Latin
449,735,11114,Jamaica,,200449,,,Norman Manley International Airport,,,Kingston,,,Latin
450,735,11143,Mexico,,200450,,,"Melchor Ocampo 469, 5DF",,,Mexico City,,,Latin
451,735,11162,Panama,,200451,,,Calle 29 y Avda Justo Arosemena,,,Panama City,,,Latin
452,735,11043,Barbados,,200452,,,"Grantley Adams Airport, Christ Church",,,,,,Latin
453,735,11190,Spain,,200453,,,,,,Madrid,,,Latin
454,751,11090,France,,200454,,,,,,Paris,,,Latin
455,751,11113,Italy,,200455,,,,,,Milan,,,Latin
456,751,11171,Russia,,200456,,,,,,Moscow,,,Latin
457,751,11190,Spain,,200457,,,,,,Madrid,,,Latin
458,751,11094,Germany,,200458,,,,,,Cologne,,,Latin
459,751,11060,Canada,,200459,,,Downsview,,,Ontario,,,Latin
460,751,11115,Japan,,200460,,,,,,Tokyo,,,Latin
461,758,11035,Argentina,,200461,,,,,,Buenos Aires,,,Latin
465,767,11211,United Kingdom,,200465,,,"Devonshire House, 1 Devonshire Street",,,London,,,Latin
466,768,11115,Japan,,200466,,,"Kawabe Building, 1-5 Kanda Nishiki-Cho, Chiyoda-Ku",,,Tokyo,,,Latin
500,815,11060,Canada,,200500,,,5250 Ferrier Street,,,Montreal,Quebec,,Latin
44386,906,11211,United Kingdom,,244386,,,4th Floor,189 Marsh Wall,,London,,E14 9SH,Latin
44387,906,11073,Cuba,,244387,,,"Edificio Atlantic, Oficina 4 H",Calle D No. 8 entre 1ra. y 3ra.,"Vedado, Plaza de la Revolucion",Havana,,10400,Latin
572,907,11090,France,,200572,,,54 Rue Richelieu,,,Paris,,,Latin
660,1042,11190,Spain,,200660,,,,,,,,,Latin
661,1043,11162,Panama,,200661,,,,,,,,,Latin
793,1241,11162,Panama,,200793,,,,,,,,,Latin
825,1287,11120,"Korea, North",,200825,,,,,,Pyongyang,,,Latin
826,1287,11171,Russia,,200826,,,,,,Moscow,,,Latin
827,1287,11190,Spain,,200827,,,,,,Barcelona,,,Latin
828,1287,11094,Germany,,200828,,,,,,Rostock,,,Latin
829,1287,11113,Italy,,200829,,,,,,Genoa,,,Latin
830,1287,11167,Poland,,200830,,,,,,Syczecin,,,Latin
831,1287,11153,Netherlands,,200831,,,,,,Rotterdam,,,Latin
832,1287,11143,Mexico,,200832,,,,,,,,,Latin
833,1287,11035,Argentina,,200833,,,,,,Buenos Aires,,,Latin
834,1287,11060,Canada,,200834,,,,,,Montreal,,,Latin
835,1287,11054,Bulgaria,,200835,,,,,,Varna,,,Latin
848,1316,11035,Argentina,,200848,,,"San Martin 323, Piso 14",,,Buenos Aires,,,Latin
997,1555,11153,Netherlands,,200997,,,Boezembolcht 23,,,Rotterdam,,,Latin
1006,1570,11130,Liechtenstein,,201006,,,,,,,,,Latin
1007,1571,11096,Greece,,201007,,,33 Akti Maouli,,,Pireas (Piraeus),,185-35,Latin
1052,1641,11162,Panama,,201052,,,,,,,,,Latin
1069,1660,11190,Spain,,201069,,,,,,,,,Latin
1100,1700,11143,Mexico,,201100,,,,,,,,,Latin
1101,1701,11060,Canada,,201101,,,1010 O Rue Ste. Catherine,,,Montreal,,PQ H303 IGI,Latin
1102,1702,11190,Spain,,201102,,,,,,,,,Latin
1237,1888,11162,Panama,,201237,,,,,,,,,Latin
1394,2109,11162,Panama,,201394,,,Edificio Saldivar,,,Panama City,,,Latin
1395,2110,11094,Germany,,201395,,,Lietzenburger Strasse 51,,,Berlin,,,Latin
1430,2184,11190,Spain,,201430,,,,,,,,,Latin
1431,2186,11143,Mexico,,201431,,,,,,Cancun,,,Latin
1432,2186,11143,Mexico,,201432,,,,,,Guadalajara,,,Latin
1433,2186,11143,Mexico,,201433,,,,,,Mexico City,,,Latin
1434,2186,11143,Mexico,,201434,,,,,,Monterey,,,Latin
1435,2186,11143,Mexico,,201435,,,,,,Roma,,,Latin
1832,2674,11291,,,201832,,,,,,,,,Latin
1833,2675,11291,,,201833,,,,,,,,,Latin
1834,2676,11291,,,201834,,,,,,,,,Latin
1835,2677,11082,Egypt,,201835,,,,,,,,,Latin
1836,2678,11291,,,201836,,,,,,,,,Latin
1837,2679,11291,,,201837,,,,,,,,,Latin
1839,2681,11291,,,201839,,,,,,,,,Latin
1840,2682,11291,,,201840,,,,,,,,,Latin
1841,2683,11291,,,201841,,,,,,,,,Latin
1843,2685,11291,,,201843,,,,,,,,,Latin
37108,2686,11126,Lebanon,,237108,,,,,,,,,Latin
1848,2690,11291,,,201848,,,,,,,,,Latin
1849,2691,11291,undetermined,,201849,,,,,,Gaza Strip,,,Latin
1982,3748,11060,Canada,,201982,,,,,,Saskatchewan,AB,,Latin
1983,3749,11073,Cuba,,201983,,,,,,,,,Latin
1984,3750,11060,Canada,,201984,,,,,,Saskatchewan,AB,,Latin
1985,3751,11073,Cuba,,201985,,,,,,,,,Latin
1991,3754,11291,,,201991,,,,,,,,,Latin
2007,4107,11066,Colombia,,202007,,,,,,Cali,,,Latin
2008,4108,11066,Colombia,,202008,,,"Casa No. 19, Avenida Lago, Ciudad Jardin",,,Cali,,,Latin
2237,4238,11291,,,202237,,,,,,,,,Latin
2242,4243,11291,,,202242,,,,,,,,,Latin
2248,4249,11291,,,202248,,,,,,,,,Latin
2256,4257,11197,Syria,,202256,,,,,,Damascus,,,Latin
2898,4632,11109,Iran,,202898,,,"PO Box 15875/7177, 144 Mirdamad Blvd",,,Tehran,,,Latin
