FixedRef,FeatureType,Value,ReliabilityID,ReliabilityValue,Comment,LocationID
36,Location,,1,Unknown,,25
173,Location,,1,Unknown,,129
306,Location,,1,Unknown,,199
306,Location,,1,Unknown,,200
306,Location,,1,Unknown,,201
306,Location,,1,Unknown,,202
424,Location,,1,Unknown,,247
475,Location,,1,Unknown,,271
475,Location,,1,Unknown,,272
480,Location,,1,Unknown,,276
535,Location,,1,Unknown,,317
536,Location,,1,Unknown,,318
537,Location,,1,Unknown,,319
540,Location,,1,Unknown,,321
551,Location,,1,Unknown,,328
552,Location,,1,Unknown,,329
555,Location,,1,Unknown,,331
559,Location,,1,Unknown,,334
576,Location,,1,Unknown,,346
578,Location,,1,Unknown,,348
589,Location,,1,Unknown,,357
590,Location,,1,Unknown,,358
591,Location,,1,Unknown,,359
592,Location,,1,Unknown,,360
593,Location,,1,Unknown,,361
621,Location,,1,Unknown,,362
622,Location,,1,Unknown,,363
636,Location,,1,Unknown,,365
651,Location,,1,Unknown,,376
701,Location,,1,Unknown,,408
702,Location,,1,Unknown,,409
735,Location,,1,Unknown,,438
735,Location,,1,Unknown,,439
735,Location,,1,Unknown,,440
735,Location,,1,Unknown,,441
735,Location,,1,Unknown,,442
735,Location,,1,Unknown,,443
735,Location,,1,Unknown,,444
735,Location,,1,Unknown,,445
735,Location,,1,Unknown,,446
735,Location,,1,Unknown,,447
735,Location,,1,Unknown,,448
735,Location,,1,Unknown,,449
735,Location,,1,Unknown,,450
735,Location,,1,Unknown,,451
735,Location,,1,Unknown,,452
735,Location,,1,Unknown,,453
751,Location,,1,Unknown,,454
751,Location,,1,Unknown,,455
751,Location,,1,Unknown,,456
751,Location,,1,Unknown,,457
751,Location,,1,Unknown,,458
751,Location,,1,Unknown,,459
751,Location,,1,Unknown,,460
758,Location,,1,Unknown,,461
767,Location,,1,Unknown,,465
768,Location,,1,Unknown,,466
815,Location,,1,Unknown,,500
906,SWIFT/BIC,HAVIGB2L,1,Unknown,,
906,Website,www.havanaintbank.co.uk,1,Unknown,,
906,Website,www.hib.uk.com,1,Unknown,,
906,Location,,1,Unknown,,44386
906,Location,,1,Unknown,,44387
907,Location,,1,Unknown,,572
1042,Location,,1,Unknown,,660
1043,Location,,1,Unknown,,661
1241,Location,,1,Unknown,,793
1287,Location,,1,Unknown,,825
1287,Location,,1,Unknown,,826
1287,Location,,1,Unknown,,827
1287,Location,,1,Unknown,,828
1287,Location,,1,Unknown,,829
1287,Location,,1,Unknown,,830
1287,Location,,1,Unknown,,831
1287,Location,,1,Unknown,,832
1287,Location,,1,Unknown,,833
1287,Location,,1,Unknown,,834
1287,Location,,1,Unknown,,835
1316,Location,,1,Unknown,,848
1555,Location,,1,Unknown,,997
1570,Location,,1,Unknown,,1006
1571,Location,,1,Unknown,,1007
1641,Location,,1,Unknown,,1052
1660,Location,,1,Unknown,,1069
1700,Location,,1,Unknown,,1100
1701,Location,,1,Unknown,,1101
1702,Location,,1,Unknown,,1102
1888,Location,,1,Unknown,,1237
2109,Location,,1,Unknown,,1394
2110,Location,,1,Unknown,,1395
2184,Location,,1,Unknown,,1430
2186,Location,,1,Unknown,,1431
2186,Location,,1,Unknown,,1432
2186,Location,,1,Unknown,,1433
2186,Location,,1,Unknown,,1434
2186,Location,,1,Unknown,,1435
2674,Birthdate,,1,Unknown,,
2674,Location,,1,Unknown,,1832
